"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=coords,acconly"
"Access Time","Mon 2017-03-13 20:35:32 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","coords,acconly"
"Elapsed Time","0.168"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"919828","occ","","","104995","Blattulites bilineatus","species","176919","Toarcian","","182.7","174.1","35131","100.309998","54.169998"
"919829","occ","","","104949","Blattula lanceolata","species","176913","Oxfordian","","163.5","157.3","35131","108.099998","51.270000"
"919831","occ","","","104950","Blattula udensis","species","176917","Oxfordian","Kimmeridgian","163.5","152.1","35131","111.250000","52.369999"
"926255","occ","","","105962","Gyatermes styriensis","species","178552","Pannonian","","11.608","7.246","35347","15.795833","46.942223"
"926323","occ","","","122352","Meiatermes araripena","species","178676","Late Aptian","","122.46","112.03","35357","-39.700001","-7.125000"
"929693","occ","","","106345","Spiloblattina weissigensis","species","201077","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"929694","occ","","","106345","Spiloblattina weissigensis","species","201077","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"929695","occ","","","106345","Spiloblattina weissigensis","species","201077","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"929696","occ","","","106345","Dicladoblatta marginata","species","179332","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"929697","occ","","","106345","Archimylacridae","family","191946","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
"929698","occ","","","106345","Phyloblatta meieri","species","179337","Asselian","","298.9","295.5","35478","-105.983330","39.216667"
