"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=acconly"
"Access Time","Wed 2017-03-08 23:30:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","0.177"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1017485","occ","","","124586","Phyloblatta triangularis","species","221243","Gzhelian","","303.7","298.9","40260"
"1017486","occ","","","124586","Phyloblatta kuznetskiensis","species","221246","Gzhelian","","303.7","298.9","40260"
"1017487","occ","","","124586","Xenoblatta incelebrata","species","221248","Gzhelian","","303.7","298.9","40260"
"1017488","occ","","","124586","Xenoblatta tomiensis","species","221249","Gzhelian","","303.7","298.9","40260"
"1017489","occ","","","124586","Phyloblatta sibirica","species","221255","Gzhelian","","303.7","298.9","40260"
"1017491","occ","","","124586","Phyloblatta dubia","species","221259","Gzhelian","","303.7","298.9","40260"
"1017492","occ","","","124586","Phyloblatta khalfini","species","221263","Gzhelian","","303.7","298.9","40260"
"1017493","occ","","","124586","Phyloblatta aliena","species","221260","Gzhelian","","303.7","298.9","40260"
"1017494","occ","","","124586","Ignaroblatta panda","species","221156","Gzhelian","","303.7","298.9","40260"
"1017495","occ","","","124586","Ignaroblatta sibirica","species","221155","Gzhelian","","303.7","298.9","40260"
"1017496","occ","","","124586","Ignaroblatta","genus","221154","Gzhelian","","303.7","298.9","40260"
"1017497","occ","","","124586","Ignaroblatta rectisubcosta","species","221742","Gzhelian","","303.7","298.9","40260"
"1017498","occ","","","124586","Aphthoroblattina irregularis","species","221271","Gzhelian","","303.7","298.9","40260"
"1017500","occ","","","124589","Oiratia valida","species","221343","Gzhelian","","303.7","298.9","40260"
"1017503","occ","","","124587","Phyloblatta distincta","species","221237","Gzhelian","","303.7","298.9","40260"
"1017505","occ","","","124588","Phyloblatta furcatella","species","221264","Gzhelian","","303.7","298.9","40260"
"1017506","occ","","","122982","Mastotermes electrodominicus","species","221743","Burdigalian","Langhian","20.44","13.82","40286"
"1017509","occ","","","124591","Phyloblatta sibirica","species","221255","Gzhelian","","303.7","298.9","49241"
"1017510","occ","","","124591","Caenoblatta angaridensis","species","221267","Gzhelian","","303.7","298.9","49241"
"1017591","occ","","","124592","Balachonoblatta pectininervosa","species","221221","Gzhelian","","303.7","298.9","40260"
"1017592","occ","","","124592","Sibiroblatta flexuosa","species","221225","Gzhelian","","303.7","298.9","40260"
"1017593","occ","","","124592","Archaeotiphites petroblattinoides","species","221230","Gzhelian","","303.7","298.9","40260"
"1017594","occ","","","124592","Phyloblatta distincta","species","221237","Gzhelian","","303.7","298.9","40260"
"1017595","occ","","","124592","Phyloblatta alykaevensis","species","221239","Gzhelian","","303.7","298.9","40260"
"1017596","occ","","","124592","Phyloblatta curvinervosa","species","221240","Gzhelian","","303.7","298.9","40260"
"1017597","occ","","","124592","Phyloblatta biramosa","species","221242","Gzhelian","","303.7","298.9","40260"
"1017598","occ","","","124592","Phyloblatta curviramosa","species","221234","Gzhelian","","303.7","298.9","40260"
"1017599","occ","","","124592","Phyloblatta triangularis","species","221243","Gzhelian","","303.7","298.9","40260"
"1017600","occ","","","124592","Xenoblatta adjuncta","species","221244","Gzhelian","","303.7","298.9","40260"
"1017601","occ","","","124592","Phyloblatta propinqua","species","221245","Gzhelian","","303.7","298.9","40260"
"1017602","occ","","","124592","Xenoblatta visenda","species","221247","Gzhelian","","303.7","298.9","40260"
"1017604","occ","","","124592","Phyloblatta sibirica","species","221255","Gzhelian","","303.7","298.9","40260"
"1017605","occ","","","124592","Phyloblatta indistincta","species","221258","Gzhelian","","303.7","298.9","40260"
"1017606","occ","","","124592","Phyloblatta aliena","species","221260","Gzhelian","","303.7","298.9","40260"
"1017607","occ","","","124592","Phyloblatta arealata","species","221261","Gzhelian","","303.7","298.9","40260"
"1017608","occ","","","124592","Phyloblatta multinervosa","species","221262","Gzhelian","","303.7","298.9","40260"
"1017610","occ","","","124592","Phyloblatta","genus","175496","Gzhelian","","303.7","298.9","40260"
"1017611","occ","","","124592","Miaroblatta balachonensis","species","221269","Gzhelian","","303.7","298.9","40260"
"1017612","occ","","","124592","Ignaroblatta","genus","221154","Gzhelian","","303.7","298.9","40260"
"1017613","occ","","","124592","Aphthoroblattina irregularis","species","221271","Gzhelian","","303.7","298.9","40260"
"1017616","occ","","","124593","Phyloblatta curviramosa","species","221234","Artinskian","","290.1","279.3","40260"
"1017617","occ","","","124593","Anthracoblattina poryvaikaensis","species","221251","Artinskian","","290.1","279.3","40260"
"1017618","occ","","","124593","Phyloblatta mala","species","221253","Artinskian","","290.1","279.3","40260"
"1017619","occ","","","124593","Metaxyblatta gromotuchensis","species","221280","Artinskian","","290.1","279.3","40260"
"1017621","occ","","","124583","Zavjaloblatta rotundata","species","221276","Gzhelian","","303.7","298.9","40260"
"1017622","occ","","","124594","Ishanablattina fodinensis","species","221282","Artinskian","","290.1","279.3","40260"
"1018357","occ","","","110735","Paraeuthyrrhapha groehni","species","221974","Priabonian","","38","33.9","40310"
"1018369","occ","","","122471","Ocelloblattula ponomarenkoi","species","221977","Late Barremian","","130","125.45","40311"
"1019144","occ","","","124386","Phyloblatta flabellata","species","201073","Gzhelian","","303.7","298.9","40358"
"1019146","occ","","","124386","Phyloblattidae","family","175498","Gzhelian","","303.7","298.9","40358"
"1019147","occ","","","124386","Phyloblatta splendens","species","222373","Gzhelian","","303.7","298.9","40358"
"1019148","occ","","","124386","Phyloblatta","genus","175496","Gzhelian","","303.7","298.9","40358"
"1019149","occ","","","124386","Anthracoblattina","genus","179346","Gzhelian","","303.7","298.9","40358"
"1019150","occ","","","124386","Anthracoblattina","genus","179346","Gzhelian","","303.7","298.9","40358"
"1019151","occ","","","124386","Xenoblatta ploetziana","species","222375","Gzhelian","","303.7","298.9","40358"
"1019152","occ","","","124386","Phyloblattidae","family","175498","Gzhelian","","303.7","298.9","40358"
"1019153","occ","","","124386","Poroblattina rotundata","species","222505","Gzhelian","","303.7","298.9","40358"
"1019154","occ","","","124386","Poroblattina parvula","species","201139","Gzhelian","","303.7","298.9","40358"
"1019159","occ","","","124385","Phyloblatta flabellata","species","201073","Gzhelian","","303.7","298.9","40358"
"1019160","occ","","","124385","Anthracoblattina","genus","179346","Gzhelian","","303.7","298.9","40358"
"1019161","occ","","","124385","Xenoblatta","genus","222374","Gzhelian","","303.7","298.9","40358"
"1020414","occ","","","124928","Dolichorhinotermes apopnus","species","224206","Early Miocene","","23.03","15.97","40476"
"1020435","occ","","","122982","Coptotermes hirsutus","species","224215","Burdigalian","Langhian","20.44","13.82","40477"
"1020454","occ","","","122982","Coptotermes paleodominicanus","species","224216","Burdigalian","Langhian","20.44","13.82","40477"
"1020455","occ","","","122982","Anoplotermes bohio","species","224219","Burdigalian","Langhian","20.44","13.82","40477"
"1020456","occ","","","122982","Anoplotermes cacique","species","224220","Burdigalian","Langhian","20.44","13.82","40477"
"1020457","occ","","","122982","Anoplotermes carib","species","224221","Burdigalian","Langhian","20.44","13.82","40477"
"1020458","occ","","","122982","Anoplotermes maboya","species","224222","Burdigalian","Langhian","20.44","13.82","40477"
"1020459","occ","","","122982","Anoplotermes naboria","species","224224","Burdigalian","Langhian","20.44","13.82","40477"
"1020460","occ","","","122982","Anoplotermes nitaino","species","224225","Burdigalian","Langhian","20.44","13.82","40477"
"1020461","occ","","","122982","Anoplotermes quisqueya","species","224226","Burdigalian","Langhian","20.44","13.82","40477"
"1020462","occ","","","122982","Anoplotermes taino","species","224230","Burdigalian","Langhian","20.44","13.82","40477"
"1020463","occ","","","122982","Amitermes lucidus","species","224233","Burdigalian","Langhian","20.44","13.82","40477"
"1020472","occ","","","122982","Microcerotermes insulanus","species","224236","Burdigalian","Langhian","20.44","13.82","40477"
"1020473","occ","","","122982","Microcerotermes setosus","species","224237","Burdigalian","Langhian","20.44","13.82","40477"
"1020474","occ","","","122982","Termes primitivus","species","224238","Burdigalian","Langhian","20.44","13.82","40477"
"1020475","occ","","","122982","Atlantitermes antillea","species","224242","Burdigalian","Langhian","20.44","13.82","40477"
"1020476","occ","","","122982","Atlantitermes caribea","species","224243","Burdigalian","Langhian","20.44","13.82","40477"
"1020477","occ","","","122982","Atlantitermes magnoculus","species","224244","Burdigalian","Langhian","20.44","13.82","40477"
"1020478","occ","","","122982","Nasutitermes amplioculatus","species","224246","Burdigalian","Langhian","20.44","13.82","40477"
"1020479","occ","","","122982","Nasutitermes incisus","species","224247","Burdigalian","Langhian","20.44","13.82","40477"
"1020480","occ","","","122982","Nasutitermes magnocellus","species","224248","Burdigalian","Langhian","20.44","13.82","40477"
"1020481","occ","","","122982","Nasutitermes medioculatus","species","224249","Burdigalian","Langhian","20.44","13.82","40477"
"1020482","occ","","","122982","Nasutitermes crinitus","species","277647","Burdigalian","Langhian","20.44","13.82","40477"
"1020483","occ","","","122982","Nasutitermes seminudus","species","224253","Burdigalian","Langhian","20.44","13.82","40477"
"1020484","occ","","","122982","Subulitermes insularis","species","224262","Burdigalian","Langhian","20.44","13.82","40477"
"1020485","occ","","","122982","Subulitermes hispaniola","species","224265","Burdigalian","Langhian","20.44","13.82","40477"
"1020486","occ","","","122982","Nasutitermes rotundicephalus","species","224267","Burdigalian","Langhian","20.44","13.82","40477"
"1020487","occ","","","122982","Parvitermes longinasus","species","224270","Burdigalian","Langhian","20.44","13.82","40477"
"1020488","occ","","","122982","Caribitermes hispaniola","species","224272","Burdigalian","Langhian","20.44","13.82","40477"
"1020489","occ","","","122982","Velocitermes bulbus","species","224274","Burdigalian","Langhian","20.44","13.82","40477"
"1021711","occ","","","50035","Stolotermes kupe","species","226206","Aquitanian","","23.03","20.44","40571"
"1021774","occ","","","124594","Phyloblatta lata","species","221252","Artinskian","","290.1","279.3","40260"
"1021775","occ","","","124594","Olethroblatta tomiensis","species","221274","Artinskian","","290.1","279.3","40260"
"1022443","occ","","","125238","Leptoblattina exilis","species","224623","Westphalian B","","314.6","314.6","48851"
"1022466","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022467","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022468","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022469","occ","","","125239","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022470","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022471","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022472","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022473","occ","","","122578","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022504","occ","","F","122579","Blattoidea","genus","224624","Stephanian C","","303.4","301.2","35209"
"1022510","occ","","","125239","Blattoidea","superfamily","191945","Stephanian C","","303.4","301.2","35209"
"1022550","occ","","","112630","Blattoidea carri","species","224647","Westphalian D","","311.45","306.95","35209"
"1022551","occ","","","112630","Pareinoblatta sellardsi","species","224650","Westphalian D","","311.45","306.95","35209"
"1022552","occ","","","114456","Blattoidea schucherti","species","224649","Westphalian C","","314.6","311.45","37094"
"1022561","occ","","","112630","Blattoidea schuchertiana","species","224651","Westphalian D","","311.45","306.95","35209"
"1022562","occ","","","112630","Blattoidea sellardsiana","species","224652","Westphalian D","","311.45","306.95","35209"
"1022563","occ","","F","112630","Blattoidea","genus","224624","Westphalian D","","311.45","306.95","35209"
"1022564","occ","","","125238","Aphthoroblattina johnsoni","species","224657","Westphalian B","","314.6","314.6","48851"
"1022565","occ","","","123820","Archimylacridae","family","191946","Westphalian C","","314.6","311.45","5862"
"1022566","occ","","","123824","Archimylacris belgica","species","224729","Westphalian C","","314.6","311.45","35209"
"1022578","occ","","","125247","Polyetoblatta calopteryx","species","224732","Westphalian","","318.1","306.95","37094"
"1022582","occ","","","125251","Kinklidoptera lubnensis","species","224738","Westphalian C","","314.6","311.45","49717"
"1022587","occ","","","128574","Kinklidoptera vicina","species","224740","Westphalian D","","311.45","306.95","35209"
"1022588","occ","","","103635","Amorphoblatta brongniarti","species","224742","Gzhelian","","303.7","298.9","35209"
"1023201","occ","","","110895","Carinatermes nascimbeni","species","227193","Turonian","","93.9","89.8","40679"
"1024291","occ","","","124820","Testudiblatta xilutianensis","species","227618","Ypresian","","56","47.8","40725"
"1024292","occ","","","124820","Dromocites guchengziensis","species","227620","Ypresian","","56","47.8","40725"
"1024293","occ","","","124820","Latiblatta orientalis","species","227624","Ypresian","","56","47.8","40725"
"1024438","occ","","","124530","Dromocites orbiculigastrulatus","species","227621","Ypresian","","56","47.8","40725"
"1024439","occ","","","124530","Latiblatta spinosa","species","227623","Ypresian","","56","47.8","40725"
"1024440","occ","","","124530","Latiblatta orientalis","species","227624","Ypresian","","56","47.8","40725"
"1024741","occ","","","125228","Sogdoblatta baleica","species","228434","Toarcian","","182.7","174.1","40760"
"1024742","occ","","","119621","Sogdoblatta parvula","species","228435","Bathonian","","168.3","166.1","40760"
"1024743","occ","","","119621","Taublatta grandis","species","228436","Bathonian","","168.3","166.1","40760"
"1024744","occ","","","124855","Taublattopsis costalis","species","228438","Toarcian","","182.7","174.1","40760"
"1024745","occ","","","124855","Mesoblattina mongolica","species","228439","Toarcian","","182.7","174.1","40760"
"1024746","occ","","","119621","Samaroblattula oshinensis","species","228440","Bathonian","","168.3","166.1","40760"
"1024747","occ","","","119621","Samaroblatta incompleta","species","228441","Bathonian","","168.3","166.1","40760"
"1024748","occ","","","125228","Mesoblattinidae","family","56640","Toarcian","","182.7","174.1","40760"
"1024749","occ","","","118010","Blattula sibirica","species","228442","Bajocian","Bathonian","170.3","166.1","40760"
"1024750","occ","","","118010","Eublattula curvinervis","species","228443","Bajocian","Bathonian","170.3","166.1","40760"
"1024925","occ","","","122557","Cratovitisma oldreadi","species","227710","Late Aptian","","122.46","112.03","40729"
"1024926","occ","","","122921","Cratovitisma oldreadi","species","227710","Late Aptian","","122.46","112.03","40729"
"1024927","occ","","","122919","Cratovitisma oldreadi","species","227710","Late Aptian","","122.46","112.03","40729"
"1024928","occ","","","122557","Ponopterix axelrodi","species","255497","Late Aptian","","122.46","112.03","40729"
"1024929","occ","","","122557","Ponopterix axelrodi","species","255497","Late Aptian","","122.46","112.03","40729"
"1024930","occ","","","122557","Elisama brevis","species","204143","Late Aptian","","122.46","112.03","40729"
"1024931","occ","","","122557","Piniblattella limai","species","216501","Late Aptian","","122.46","112.03","40729"
"1024932","occ","32956","","122557","Piniblattella magna","species","348208","Late Aptian","","122.46","112.03","61074"
"1024933","occ","32957","","122557","Perlucipecta santanensis","species","348209","Late Aptian","","122.46","112.03","61074"
"1024934","occ","","","122557","Cratomastotermes wolfschwenningeri","species","228536","Late Aptian","","122.46","112.03","40729"
"1024935","occ","","","122557","Meiatermes araripena","species","178676","Late Aptian","","122.46","112.03","40729"
"1024937","occ","","","122557","Meiatermes araripena","species","178676","Late Aptian","","122.46","112.03","40729"
"1024938","occ","","","122557","Mariconitermes talicei","species","228542","Late Aptian","","122.46","112.03","40729"
"1024939","occ","","","122557","Cratokalotermes santanensis","species","228549","Late Aptian","","122.46","112.03","40729"
"1024940","occ","","","122557","Cretarhinotermes novaolindense","species","228551","Late Aptian","","122.46","112.03","40729"
"1024941","occ","","","125511","Meiatermes araripena","species","178676","Late Aptian","","122.46","112.03","5835"
"1024942","occ","","","125511","Meiatermes araripena","species","178676","Late Aptian","","122.46","112.03","5835"
"1024943","occ","","","125511","Mariconitermes talicei","species","228542","Late Aptian","","122.46","112.03","5835"
"1025281","occ","","","103635","Dictyomylacris insignis","species","230146","Gzhelian","","303.7","298.9","35209"
"1025288","occ","","","123932","Sooblatta lanceolata","species","224748","Westphalian D","","311.45","306.95","50886"
"1025294","occ","","","103635","Anthracoblattina gigantea","species","224771","Gzhelian","","303.7","298.9","49236"
"1025299","occ","","","103635","Anthracoblattina gigantea","species","224771","Gzhelian","","303.7","298.9","49236"
"1025302","occ","","","125548","Plagioblatta campbelli","species","224796","Westphalian","","318.1","306.95","37094"
"1025304","occ","30031","","103635","Phyloblatta gaudryi","species","212733","Gzhelian","","303.7","298.9","51535"
"1025308","occ","","","21981","Archoblattina scudderi","species","224801","Westphalian D","","311.45","306.95","37094"
"1025615","occ","","","121979","Eumorphoblatta boulei","species","224822","Gzhelian","","303.7","298.9","48303"
"1025616","occ","","","125661","Apotypoma longa","species","226563","Stephanian C","Asselian","303.4","295.5","35209"
"1025617","occ","","","125661","Apotypoma platyptera","species","226565","Stephanian C","Asselian","303.4","295.5","35209"
"1025618","occ","","","125662","Apotypoma arndti","species","226564","Westphalian D","","311.45","306.95","50906"
"1025621","occ","","","125663","Sterzelia steinmanni","species","226577","Gzhelian","","303.7","298.9","49441"
"1025622","occ","","","125664","Platyblatta steinbachensis","species","226580","Westphalian D","","311.45","306.95","50788"
"1025623","occ","","","128574","Prantlites bohemicus","species","226582","Westphalian D","","311.45","306.95","50655"
"1025624","occ","","","128574","Gongyloblatta fritschi","species","226587","Westphalian D","","311.45","306.95","35209"
"1025625","occ","","","128574","Flabellites latus","species","226589","Westphalian D","","311.45","306.95","49719"
"1025626","occ","","","123825","Platyblatta propria","species","226584","Westphalian C","Westphalian D","314.6","306.95","50789"
"1025627","occ","","","103635","Syncoptoblatta thoracica","species","226591","Gzhelian","","303.7","298.9","35209"
"1025628","occ","","","103635","Miaroblatta elata","species","226614","Gzhelian","","303.7","298.9","35209"
"1025629","occ","","","122579","Anthracoblattina spectabilis","species","201148","Stephanian C","","303.4","301.2","35209"
"1025630","occ","","","125665","Asemoblatta pennsylvanica","species","226620","Westphalian","","318.1","306.95","37094"
"1025636","occ","","","103635","Asemoblatta brongniartiana","species","226623","Gzhelian","","303.7","298.9","35209"
"1025637","occ","","","122579","Phyloblatta splendens","species","222373","Stephanian C","","303.4","301.2","35209"
"1025738","occ","","","106345","Poroblattina","genus","179338","Asselian","","298.9","295.5","40806"
"1025739","occ","","","106345","Poroblattina","genus","179338","Asselian","","298.9","295.5","40806"
"1025740","occ","","","106345","Poroblattina","genus","179338","Asselian","","298.9","295.5","40806"
"1025741","occ","","","106345","Epheboblatta attenuata","species","229045","Asselian","","298.9","295.5","40806"
"1025742","occ","","","106345","Nearoblatta rotundata","species","229044","Asselian","","298.9","295.5","40806"
"1025743","occ","","","106345","Poroblattina parvula","species","201139","Asselian","","298.9","295.5","40806"
"1025744","occ","","","106345","Neorthroblattina albolineata","species","229042","Asselian","","298.9","295.5","40806"
"1025749","occ","","","125696","Sooblatta deanensis","species","170229","Moscovian","","315.2","307","40799"
"1025750","occ","","","21981","Mylacris anthracophila","species","200963","Westphalian D","","311.45","306.95","40799"
"1025751","occ","","","122521","Orthomylacris gurleyi","species","211769","Westphalian D","","311.45","306.95","40799"
"1025752","occ","","","21981","Mylacris ampla","species","228948","Westphalian D","","311.45","306.95","40799"
"1025753","occ","","","117474","Mylacris anthracophila","species","200963","Westphalian","","318.1","306.95","50024"
"1025754","occ","29604","","125240","Mylacridae carbonina","species","230044","Stephanian C","","303.4","301.2","35209"
"1025755","occ","","","117474","Mylacris ovalis","species","228956","Westphalian","","318.1","306.95","50024"
"1025756","occ","","","123813","Amblymylacris harei","species","228957","Stephanian","","306.95","298.9","40799"
"1025757","occ","","","21981","Oxynoblatta triangularis","species","226765","Westphalian D","","311.45","306.95","40799"
"1025758","occ","","","21981","Metachorus testudo","species","211833","Westphalian D","","311.45","306.95","40799"
"1025759","occ","","","125697","Hemimylacris clintoniana","species","227016","Westphalian D","","311.45","306.95","40799"
"1025760","occ","","","125698","Orthomylacris pluteus","species","227040","Westphalian","","318.1","306.95","40799"
"1025762","occ","","","122521","Mylacridae","family","179328","Westphalian D","","311.45","306.95","40799"
"1025763","occ","","","124242","Amblymylacris clintoniana","species","228963","Westphalian D","","311.45","306.95","40799"
"1025765","occ","","","123812","Ametroblatta strigosa","species","226976","Stephanian","","306.95","298.9","49720"
"1025766","occ","","","122604","Phyloblatta lata","species","228964","Asselian","","298.9","295.5","40799"
"1025773","occ","","","123812","Phyloblatta jeffersoniana","species","228974","Stephanian","","306.95","298.9","40799"
"1025774","occ","","","122604","Sysciophlebia patiens","species","228970","Asselian","","298.9","295.5","40799"
"1025776","occ","","","122604","Arrhythmoblatta detecta","species","228972","Asselian","","298.9","295.5","40799"
"1025777","occ","","","122604","Blattoidea","superfamily","191945","Asselian","","298.9","295.5","40799"
"1025778","occ","","","122604","Phyloblatta residua","species","228975","Asselian","","298.9","295.5","40799"
"1025779","occ","","","122604","Phyloblatta funeraria","species","228976","Asselian","","298.9","295.5","40799"
"1025780","occ","","","122604","Pareinoblatta expuncta","species","228977","Asselian","","298.9","295.5","40799"
"1025781","occ","29559","","122604","Spiloblattinidae","family","176682","Asselian","","298.9","295.5","40799"
"1025882","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025883","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025884","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","49720"
"1025885","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025886","occ","","","123812","Sysciophlebia benedicta","species","192117","Stephanian","","306.95","298.9","40799"
"1025887","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025888","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025889","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","49720"
"1025890","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","49720"
"1025891","occ","","","106345","Distatoblatta persistens","species","228979","Asselian","","298.9","295.5","50026"
"1025892","occ","","","106345","Etoblattina","genus","170228","Asselian","","298.9","295.5","50026"
"1025893","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025894","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","49720"
"1025895","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025896","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","49720"
"1025897","occ","","","122604","Acosmoblatta eakiniana","species","228980","Asselian","","298.9","295.5","40799"
"1025898","occ","","","122604","Phyloblatta accubita","species","228981","Asselian","","298.9","295.5","40799"
"1025899","occ","","","122604","Phyloblatta expulsata","species","228982","Asselian","","298.9","295.5","40799"
"1025900","occ","","","122604","Phyloblatta gratiosa","species","228983","Asselian","","298.9","295.5","40799"
"1025901","occ","","","122604","Phyloblatta macerata","species","228984","Asselian","","298.9","295.5","40799"
"1025902","occ","","","122604","Phyloblatta immolata","species","228985","Asselian","","298.9","295.5","40799"
"1025903","occ","","","122604","Phyloblatta mactata","species","228986","Asselian","","298.9","295.5","40799"
"1025904","occ","","","122604","Phyloblatta communis","species","228987","Asselian","","298.9","295.5","40799"
"1025905","occ","","","122604","Phyloblatta exsecuta","species","228988","Asselian","","298.9","295.5","40799"
"1025906","occ","","","122604","Scudderula arcta","species","228989","Asselian","","298.9","295.5","40799"
"1025907","occ","","","122604","Phyloblatta praedulcis","species","228998","Asselian","","298.9","295.5","40799"
"1025908","occ","","","122604","Phyloblatta angusta","species","229000","Asselian","","298.9","295.5","40799"
"1025909","occ","","","122604","Phyloblatta macilenta","species","229001","Asselian","","298.9","295.5","40799"
"1025910","occ","","","122604","Phyloblatta rogi","species","229002","Asselian","","298.9","295.5","40799"
"1025911","occ","","","122604","Phyloblatta expugnata","species","229003","Asselian","","298.9","295.5","40799"
"1025912","occ","","","122604","Phyloblatta obatra","species","229004","Asselian","","298.9","295.5","40799"
"1025913","occ","","","122604","Phyloblatta imperfecta","species","229005","Asselian","","298.9","295.5","40799"
"1025914","occ","","","122604","Phyloblatta secreta","species","229006","Asselian","","298.9","295.5","40799"
"1025915","occ","","","21981","Phyloblatta hilliana","species","191948","Westphalian D","","311.45","306.95","40799"
"1025916","occ","","","114462","Phyloblatta latebricola","species","229009","Westphalian C","Westphalian D","314.6","306.95","40799"
"1025917","occ","","","122604","Sysciophlebia invisa","species","229007","Asselian","","298.9","295.5","40799"
"1025918","occ","","","122604","Sysciophlebia balteata","species","201283","Asselian","","298.9","295.5","40799"
"1025919","occ","","","122604","Dicladoblatta defossa","species","229010","Asselian","","298.9","295.5","40799"
"1025920","occ","","","122604","Sysciophlebia recidiva","species","229011","Asselian","","298.9","295.5","40799"
"1025921","occ","","","122604","Etoblattina","genus","170228","Asselian","","298.9","295.5","40799"
"1025922","occ","","","123812","Sysciophlebia variegata","species","226923","Stephanian","","306.95","298.9","49720"
"1025923","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025924","occ","","","123812","Blattoidea","superfamily","191945","Stephanian","","306.95","298.9","40799"
"1025925","occ","","","123812","Poroblattina rotundata","species","222505","Stephanian","","306.95","298.9","40799"
"1025926","occ","","","122604","Archimylacridae","family","191946","Asselian","","298.9","295.5","40799"
"1025927","occ","","","122604","Blattoidea","superfamily","191945","Asselian","","298.9","295.5","40799"
"1025928","occ","","","122604","Sysciophlebia balteata","species","201283","Asselian","","298.9","295.5","40799"
"1025929","occ","","","122604","Sysciophlebia balteata","species","201283","Asselian","","298.9","295.5","40799"
"1025930","occ","","","122604","Phyloblatta abdicata","species","229017","Asselian","","298.9","295.5","40799"
"1025931","occ","","","122604","Phyloblatta concinna","species","229018","Asselian","","298.9","295.5","40799"
"1025932","occ","","","122604","Phyloblatta uniformis","species","229019","Asselian","","298.9","295.5","40799"
"1025934","occ","","","122604","Acosmoblatta permacra","species","229021","Asselian","","298.9","295.5","40799"
"1025935","occ","","","122604","Archimylacridae","family","191946","Asselian","","298.9","295.5","40799"
"1025936","occ","","","122604","Phyloblatta deducta","species","229023","Asselian","","298.9","295.5","40799"
"1025937","occ","","","122604","Liparoblatta radiata","species","229024","Asselian","","298.9","295.5","40799"
"1025940","occ","","","122604","Liparoblatta ovata","species","229027","Asselian","","298.9","295.5","40799"
"1025941","occ","","","125697","Oxynoblatta americana","species","226769","Westphalian D","","311.45","306.95","40799"
"1025944","occ","","","122604","Poroblattina gratiosa","species","229035","Asselian","","298.9","295.5","40799"
"1025947","occ","","","122604","Poroblattina parvula","species","201139","Asselian","","298.9","295.5","40799"
"1025948","occ","","","123812","Spiloblattina variegata","species","236040","Stephanian","","306.95","298.9","40799"
"1025949","occ","","","123812","Poroblattina","genus","179338","Stephanian","","306.95","298.9","40799"
"1025998","occ","","","103635","Phyloblatta gaudryi","species","212733","Gzhelian","","303.7","298.9","35209"
"1025999","occ","","","103635","Phyloblatta gaudryi","species","212733","Gzhelian","","303.7","298.9","35209"
"1026000","occ","","","103635","Phyloblatta gaudryi","species","212733","Gzhelian","","303.7","298.9","35209"
"1026001","occ","","","103635","Phyloblatta gaudryi","species","212733","Gzhelian","","303.7","298.9","35209"
"1026002","occ","","","103635","Phyloblatta reniformis","species","226633","Gzhelian","","303.7","298.9","35209"
"1026003","occ","","","125735","Phyloblatta alutacea","species","226632","Gzhelian","","303.7","298.9","35209"
"1026004","occ","","","153702","Phyloblatta flabellata","species","201073","Stephanian C","","303.4","301.2","35209"
