"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Blattodea&show=acconly"
"Access Time","Wed 2017-03-08 23:30:50 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Blattodea"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","0.177"
"Records Found","2578"
"Records Returned","2578"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"962928","occ","","","113003","Sysciophlebia arcuata","species","192208","Kasimovian","","307","303.7","36704"
"962929","occ","","","113003","Dictyomylacris multinervis","species","192210","Kasimovian","","307","303.7","36704"
"964398","occ","","","113475","Rhipidoblattina liugouensis","species","193309","Callovian","Oxfordian","166.1","157.3","36824"
"964399","occ","","","113477","Rhipidoblattina liaoningensis","species","193310","Callovian","Oxfordian","166.1","157.3","56259"
"964400","occ","","","154832","Rhipidoblattina beipiaoensis","species","193311","Callovian","Oxfordian","166.1","157.3","36824"
"964401","occ","","","113475","Rhipidoblattina (Canaliblatta) tenuis","species","193315","Callovian","Oxfordian","166.1","157.3","36824"
"964402","occ","","","113476","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Callovian","Oxfordian","166.1","157.3","36824"
"964403","occ","","","113473","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Callovian","Oxfordian","166.1","157.3","36824"
"964404","occ","","","154823","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Callovian","Oxfordian","166.1","157.3","36824"
"964405","occ","","","113478","Rhipidoblattina (Canaliblatta) hebeiensis","species","193313","Toarcian","","182.7","174.1","36824"
"964407","occ","","","113480","Triassoblatta damiaoliangensis","species","193319","Callovian","Oxfordian","166.1","157.3","36824"
"964408","occ","","","113475","Triassoblatta fusiformis","species","193321","Callovian","Oxfordian","166.1","157.3","36824"
"964409","occ","","","113481","Sogdoblatta haifanggouensis","species","193323","Callovian","Oxfordian","166.1","157.3","36824"
"964410","occ","","","154834","Fusiblatta arcuata","species","328113","Callovian","Oxfordian","166.1","157.3","56259"
"964411","occ","","","113482","Fusiblatta dongchangtaiensis","species","328114","Callovian","Oxfordian","166.1","157.3","56259"
"964826","occ","","","109025","Isoptera","infraorder","71739","Late Maastrichtian","","70.6","66","36938"
"966817","occ","","","106380","Ischnoptera brunneri","species","195121","Chadronian","","37.2","33.9","5034"
